Inicio Periodo,Final Periodo,Compensación,Punta,Llano,Valle,Punta Generation kWh,Llano Generation kWh,Valle Generation kWh
2022-01-01,2022-01-31,0.000,0.396,0.286,0.228,0.000,0.000,0.000
2023-01-01,2023-04-30,0.000,0.342,0.281,0.234,0.000,0.000,0.000
2023-05-01,2023-12-31,0.130,0.295,0.237,0.199,0.000,0.000,0.000
2024-01-01,2024-03-31,0.070,0.247,0.189,0.154,0.187,0.139,0.116
2024-04-01,2024-10-31,0.060,0.212,0.154,0.118,0.186,0.135,0.109
2024-11-01,2024-12-31,0.060,0.226,0.166,0.127,0.186,0.135,0.109
2025-01-01,2025-05-31,0.050,0.241,0.166,0.127,0.201,0.135,0.109
2025-06-01,2025-12-31,0.037,0.226,0.157,0.119,0.201,0.135,0.109
2026-01-01,2026-04-30,0.030,0.229,0.153,0.125,0.205,0.135,0.110
2026-05-01,2026-09-30,0.030,0.226,0.150,0.124,0.194,0.124,0.099
2026-10-01,2999-12-31,0.030,0.249,0.169,0.150,0.194,0.124,0.099
